seed_term,sponsor,total_trials_since_2020,active_trials_since_2020,early_phase_trials_since_2020,active_early_trials_since_2020,total_trials_since_2020_score,active_trials_since_2020_score,early_phase_trials_since_2020_score,active_early_trials_since_2020_score,trial_activity_score,sponsor_total_active_early,therapeutic_focus_score,activity_trajectory_score,start_slope,starts_early_period,starts_recent_period,effective_indication_breadth,breadth_score,prospect_score
autoimmune diseases,Neutrolis,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,Renata PLC,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,SciRhom GmbH,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Shenzhen Beike Bio-Technology Co., Ltd.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,TargED Biopharmaceuticals B.V.,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Ventus Therapeutics U.S., Inc.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Viatris Pharmaceuticals Co., Ltd.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,Vidya Therapeutics Inc,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Vivacta Biotechnology (Shanghai) Co., Ltd.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Yarrow Bioscience, Inc.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
