nct_id,Indication
NCT06704815,Hypertension
NCT03267108,Pulmonary Fibrosis
NCT03267108,"Hypertension, Pulmonary"
NCT06212479,Neoplasms
NCT06212479,Metabolic Diseases
NCT06212479,Aneurysm
NCT06212479,Nervous System Diseases
NCT05128591,Embolism and Thrombosis
NCT06604897,Essential Hypertension
NCT05755997,CADASIL
NCT06292013,Atherosclerosis
NCT06428825,"Renal Insufficiency, Chronic"
NCT06428825,Hypertension
NCT06116968,"Cardiomyopathy, Hypertrophic"
NCT05030428,Atherosclerosis
NCT05030428,Hypercholesterolemia
NCT05030428,Dyslipidemias
NCT05030428,Hyperlipidemias
NCT05552495,Hypertension
NCT05552495,Dyslipidemias
NCT05326802,Fatigue
NCT05326802,"Burnout, Professional"
NCT05326802,Musculoskeletal Pain
NCT05326802,Back Pain
NCT05326802,Neck Pain
NCT05326802,Headache
NCT05326802,Dizziness
NCT05326802,Parasomnias
NCT05326802,Chest Pain
NCT05326802,Syncope
NCT05326802,Cardiovascular Diseases
NCT05326802,Dyspnea
NCT05326802,Gastrointestinal Diseases
NCT05326802,"Burnout, Psychological"
NCT07444567,Asthma
NCT07444567,Churg-Strauss Syndrome
NCT07444567,Hypereosinophilic Syndrome
NCT04840914,Heart Failure
NCT07517263,Cardiovascular Diseases
NCT07517263,Myocardial Infarction
NCT07517263,Stroke
NCT05700591,Ischemic Stroke
NCT06439576,Retinal Vein Occlusion
NCT05179876,"Hypertension, Pulmonary"
NCT05179876,Pulmonary Arterial Hypertension
NCT04825743,ST Elevation Myocardial Infarction
NCT05769608,Hypertension
NCT05295173,Ischemic Stroke
NCT05096039,Heart Failure
NCT04765657,Hypercholesterolemia
NCT04765657,Dyslipidemias
NCT06991257,Heart Failure
NCT06465264,Essential Hypertension
NCT04214899,Heart Failure
NCT05546398,Hypercholesterolemia
NCT06831825,Heart Failure
NCT06833190,Hypertension
NCT07379840,Heart Failure
NCT03458325,Heart Failure
NCT05696717,Shy-Drager Syndrome
NCT04595370,Heart Failure
NCT04595370,"Renal Insufficiency, Chronic"
NCT04595370,"Diabetes Mellitus, Type 2"
NCT04595370,Diabetic Nephropathies
NCT05739383,Cardiovascular Diseases
NCT05739383,Myocardial Infarction
NCT05739383,Stroke
NCT05739383,Hyperlipidemias
NCT05739383,Hypercholesterolemia
NCT05739383,Dyslipidemias
NCT05739383,Coronary Artery Disease
NCT05739383,Coronary Stenosis
NCT06501586,Essential Hypertension
NCT06745726,Hypertension
NCT04928326,Heart Failure
NCT05470725,Hypertension
NCT05643885,Thromboembolism
NCT06833476,Tricuspid Valve Insufficiency
NCT05395338,Stroke
NCT06158633,"Pulmonary Disease, Chronic Obstructive"
NCT06158633,Heart Failure
NCT07241520,Ischemic Stroke
NCT02988245,Hypertension
NCT05117762,Hypertension
NCT06135103,Ischemic Stroke
NCT06328010,Wounds and Injuries
NCT06328010,Burns
NCT06328010,Varicose Ulcer
NCT06328010,Accidental Injuries
NCT06328010,Degloving Injuries
NCT06328010,Pressure Ulcer
NCT05571813,Hypertension
NCT05569720,Stroke
NCT05444660,Peripheral Arterial Disease
NCT04667897,Retinal Vein Occlusion
NCT06215911,Heart Failure
NCT06215911,Cardiovascular Diseases
NCT06215911,Heart Diseases
